feature,importance
L1-Hour21,0.3981247431777668
L1-Hour22,0.28949432227322774
L1-Hour19,0.26375393287508425
L2-Hour20,0.24576859094969636
L1-Hour23,0.23492077541726616
L1-Hour20,0.22738174166842925
L2-Hour19,0.18415743786994296
L2-Hour21,0.17332116711177728
L1-Hour6,0.13398418244200452
L1-Hour18,0.12433179164881496
L2-Hour22,0.1218490741111814
L2-Hour23,0.12093897422084567
Weekday,0.09583690801610478
L1-Hour15,0.09414874658842197
L1-Hour16,0.09117009573087159
L2-Hour13,0.08562147669409768
Sun,0.08176717094169764
L1-Hour17,0.07654096154306524
L2-Hour10,0.07413023790403817
daily_mean,0.07002203034921235
L2-Hour18,0.065210227470361
L7-Hour0,0.046552727875526244
L1-Hour1,0.04652816721680625
L1-Hour0,0.04323742889864235
L2-Hour15,0.042757352912709594
Normal,0.0417594958248139
L7-Hour7,0.041395683218797795
L2-Hour9,0.03891550437556509
L1-Hour14,0.036719641804624385
L1-Hour9,0.036441620044505095
L2-Hour17,0.03500943217452648
L7-Hour8,0.03159752176382904
L1-Hour2,0.03152298954833821
L1-Hour8,0.031146488732994856
Temp_Bretagne,0.03056263280687592
L7-Hour1,0.027965187346912068
L1-Hour5,0.027820705334314272
L2-Hour6,0.024155605871953173
L2-Hour16,0.022872106312719933
L1-Hour7,0.022720696191625048
L1-Hour13,0.020950037732711545
Fir,0.020854119975890675
Mon,0.020685416965769268
Temp_Auvergne-Rhone-Alpes,0.020367716060420232
L2-Hour11,0.019108422241693162
L1-Hour11,0.018585415035675474
1er janvier,0.015557619131510709
L1-Hour3,0.014068018094629445
Jour de Noël,0.013880896250525734
L2-Hour8,0.013825573911076479
L7-Hour12,0.012677981811935782
Temp_Provence-Alpes-Cote-dAzur,0.012338731069472421
Temp_Pays-de-la-Loire,0.010737390654376571
L2-Hour7,0.010247017286801583
Tue,0.009300059033549654
dayofyear_sin,0.00901359726960743
L2-Hour5,0.008749333408901851
L1-Hour4,0.008568456112335221
Thu,0.007836887119761786
L2-Hour12,0.007664693176580335
L7-Hour18,0.007646357756343544
L2-Hour0,0.007551154988796272
L7-Hour21,0.0073785351801730495
L7-Hour22,0.0071976955568940635
L7-Hour13,0.007068940227017459
L7-Hour19,0.007014647289363588
L7-Hour5,0.006953033295561552
L7-Hour10,0.006479958609766776
L7-Hour15,0.005573238361351954
L7-Hour20,0.005412603776059634
L1-Hour10,0.005325426323209444
L1-Hour12,0.005233416855743311
L7-Hour11,0.005128078198021939
L7-Hour16,0.004900439571458356
Temp_Nouvelle-Aquitaine,0.004770054544965131
L7-Hour6,0.004746739151753999
Temp_Hauts-de-France,0.004611109396039815
Temp_Grand-Est,0.004487850665618857
L7-Hour23,0.004441795881904379
Temp_Normandie,0.004273898157786671
L2-Hour4,0.003948737280510652
L2-Hour14,0.003760584129357277
L7-Hour17,0.003293852543032567
Temp_Centre-Val-de-Loire,0.0032605641033944944
L2-Hour3,0.002488216069335533
L2-Hour2,0.0019609831731033974
Wed,0.0017591453566262183
L7-Hour3,0.001582803450327841
Temp_Occitanie,0.001508461731548996
L7-Hour14,0.0009856275726798495
Temp_Ile-de-France,0.0008437828980246255
Sat,0.0006245004573154259
L7-Hour2,0.00045794515417521916
Temp_Bourgogne-Franche-Comte,0.00034667959308871824
L2-Hour1,8.154200458237353e-05
L7-Hour4,4.216475690725628e-07
L7-Hour9,0.0
